year,performing_country,total_score,place,str,switzerland,denmark,france,germany,netherlands,austria,italy,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,israel,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,romania,slovakia,lithuania,hungary,russia,poland,macedonia,latvia,ukraine
2001,portugal,18,17,final,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,ireland,6,21,final,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,spain,76,6,final,0,0,5,0,7,0,0,3,0,5,4,0,0,7,3,0,12,8,6,0,2,1,5,0,3,0,0,0,0,0,1,0,4,0
2001,france,142,4,final,0,6,0,6,8,0,0,6,0,6,7,0,3,12,7,0,2,4,1,0,4,6,12,6,10,0,0,7,0,12,10,0,7,0
2001,turkey,41,11,final,0,3,7,7,3,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2001,united_kingdom,28,15,final,0,0,0,2,2,0,0,0,0,0,0,0,1,2,4,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,2,0,3,0
2001,slovenia,70,7,final,0,0,1,4,4,0,0,0,0,7,6,0,2,0,2,0,1,0,0,0,6,0,10,8,5,0,0,4,0,4,6,0,0,0
2001,poland,11,20,final,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2001,germany,66,8,final,0,4,6,0,1,0,0,2,0,0,3,0,10,10,6,5,0,1,3,0,0,0,0,1,1,0,0,0,0,8,4,0,1,0
2001,estonia,198,1,final,0,8,8,10,12,0,0,12,0,8,10,0,8,0,10,12,6,12,12,0,10,12,4,2,0,0,0,12,0,6,12,0,12,0
2001,malta,48,9,final,0,12,0,1,0,0,0,1,0,3,5,0,4,0,0,0,0,3,2,0,3,0,1,0,2,0,0,1,0,7,3,0,0,0
2001,greece,147,3,final,0,5,3,8,6,0,0,7,0,12,8,0,12,4,5,7,10,0,5,0,8,8,8,5,6,0,0,5,0,5,8,0,2,0
2001,denmark,177,2,final,0,0,4,12,10,0,0,10,0,10,12,0,7,8,12,6,7,6,4,0,12,10,0,12,12,0,0,6,0,0,7,0,10,0
2002,cyprus,85,6,final,0,0,0,0,0,0,0,3,3,1,0,4,6,0,0,12,0,12,0,0,0,4,0,10,4,8,0,4,0,6,0,0,8,0
2002,united_kingdom,111,3,final,6,6,1,8,0,12,0,0,6,2,0,8,0,0,0,10,5,7,2,0,0,8,7,0,6,0,0,8,0,0,0,4,5,0
2002,austria,26,18,final,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,greece,27,17,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,6,0,0,0,8,0,0,0,0
2002,spain,81,7,final,12,0,12,7,0,0,0,2,12,7,0,0,0,0,0,0,6,4,0,7,0,0,6,6,0,0,0,0,0,0,0,0,0,0
